# Conferences section
conferenceName,divisionName
atlantic,NewEngland
atlantic,South
atlantic,Midwest
pacific,Southwest
pacific,WestCoast
pacific,Northwest
# Teams Section
abbreviation,city,conference,division,color1,color2,font
ALB,Albany,Eastern,NewEngland,#1D428A,#FFC72C,Helvetica
PVD,Providence,Eastern,NewEngland,#007A33,#BA9653,Arial
HFD,Hartford,Eastern,NewEngland,#006BB6,#ED174C,Georgia
HAM,Hamilton,Eastern,NewEngland,#CE1141,#A1A1A4,Courier
ROC,Rochester,Eastern,NewEngland,#000000,#FFFFFF,Arial
MPL,Madison,Eastern,Midwest,#CE1141,#000000,Verdana
GRR,GrandRapids,Eastern,Midwest,#C8102E,#006BB6,Verdana
AKR,Akron,Eastern,Midwest,#860038,#041E42,Baskerville
FTW,FortWayne,Eastern,Midwest,#FDBB30,#002D62,Papyrus
GRB,GreenBay,Eastern,Midwest,#00471B,#EEE1C6,Helvetica
FTL,FortLauderdale,Eastern,South,#98002E,#F9A01B,Futura
RAL,Raleigh,Eastern,South,#1D1160,#00788C,Baskerville
SAV,Savannah,Eastern,South,#E03A3E,#C1D32F,Cochin
SRQ,Sarasota,Eastern,South,#0077C0,#C4CED4,Thonburi
NAP,Naples,Eastern,South,#D50A0A,#FF7900,Helvetica
BOI,Boise,Pacific,Northwest,#005C5C,#B6BFBF,Arial
SLC,Salt Lake City,Pacific,Northwest,#0E2240,#FEC524,Thonburi
FAR,Fargo,Pacific,Northwest,#0C2340,#236192,Impact
EUG,Eugene,Pacific,Northwest,#E03A3E,#C4CED4,Palatino
TUL,Tulsa,Pacific,Northwest,#007AC1,#EF3B24,Chalkboard SE
SDG,San Diego,Pacific,WestCoast,#C8102E,#FFB81C,Bradley Hand
TUC,Tucson,Pacific,WestCoast,#1D1160,#E56020,Lucida Grande
FRS,Fresno,Pacific,WestCoast,#FFC72C,#1D428A,Frutiger
RNO,Reno,Pacific,WestCoast,#5A2D81,#63727A,Didot
BOU,Boulder,Pacific,WestCoast,#002B5C,#F9A01B,Bodoni
AUS,Austin,Pacific,Southwest,#CE1141,#C4CED4,Tahoma
ELP,El Paso,Pacific,Southwest,#00538C,#B8C4CA,Garamond
CC,Corpus Christi,Pacific,Southwest,#C4CED4,#000000,Impact
BAT,Baton Rouge,Pacific,Southwest,#0C2340,#85714D,Comic Sans Ms
LR,Little Rock,Pacific,Southwest,#5D76A9,#12173F,Century Gothic
# Players Section
name,birthDate,nationality,position,archetype,currentTeamAbbreviation,height,weight,draftYear,contract,potential,interiorShooting,midrangeShooting,threePointShooting,freeThrowShooting,interiorDefense,perimeterDefense,shotBlocking,offensiveRebounding,defensiveRebounding,ballHandling,passing,awareness,athleticism,steals,driving,screening,offBallMovement
Mark Johnson,1992-04-10,American,PF,Rim Protector,ALB,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,ALB,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,ALB,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,ALB,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,ALB,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,ALB,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,ALB,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,ALB,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,ALB,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,ALB,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,ALB,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,ALB,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,PVD,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
